name,lastCommitSHA,guideline_path,guideline_url,guideline_evidence,artifact_path
lionsoul2014/ip2region,5a401aaebbe26b80cf0702bcc1934f1a556c9cf7,binding/c/xdb_api.h,https://github.com/lionsoul2014/ip2region/blob/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/c/xdb_api.h,// this define must be put before any header include,guideline-files/lionsoul2014/ip2region/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/c/xdb_api.h
lionsoul2014/ip2region,5a401aaebbe26b80cf0702bcc1934f1a556c9cf7,binding/c/xdb_util.c,https://github.com/lionsoul2014/ip2region/blob/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/c/xdb_util.c,// to ensure that the maximum file pointer does not overflow.,guideline-files/lionsoul2014/ip2region/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/c/xdb_util.c
lionsoul2014/ip2region,5a401aaebbe26b80cf0702bcc1934f1a556c9cf7,binding/erlang/src/ip2region_worker.erl,https://github.com/lionsoul2014/ip2region/blob/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/erlang/src/ip2region_worker.erl,%% Only the first worker (or the first worker after a restart) populates it.,guideline-files/lionsoul2014/ip2region/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/erlang/src/ip2region_worker.erl
lionsoul2014/ip2region,5a401aaebbe26b80cf0702bcc1934f1a556c9cf7,binding/golang/service/searcher_pool.go,https://github.com/lionsoul2014/ip2region/blob/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/golang/service/searcher_pool.go,// return nil directly once the pool was closed to avoid blocking forever.,guideline-files/lionsoul2014/ip2region/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/golang/service/searcher_pool.go
lionsoul2014/ip2region,5a401aaebbe26b80cf0702bcc1934f1a556c9cf7,binding/golang/service/searcher_pool_test.go,https://github.com/lionsoul2014/ip2region/blob/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/golang/service/searcher_pool_test.go,// borrowing after close should return nil immediately instead of blocking forever,guideline-files/lionsoul2014/ip2region/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/golang/service/searcher_pool_test.go
lionsoul2014/ip2region,5a401aaebbe26b80cf0702bcc1934f1a556c9cf7,binding/golang/xdb/util_test.go,https://github.com/lionsoul2014/ip2region/blob/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/golang/xdb/util_test.go,// a short buffer should return an error instead of panicking on slice out of range,guideline-files/lionsoul2014/ip2region/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/golang/xdb/util_test.go
lionsoul2014/ip2region,5a401aaebbe26b80cf0702bcc1934f1a556c9cf7,binding/golang/xdb/version_test.go,https://github.com/lionsoul2014/ip2region/blob/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/golang/xdb/version_test.go,"// ip2 is little-endian as stored in the xdb index, it must NOT be mutated",guideline-files/lionsoul2014/ip2region/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/golang/xdb/version_test.go
lionsoul2014/ip2region,5a401aaebbe26b80cf0702bcc1934f1a556c9cf7,binding/java/src/main/java/org/lionsoul/ip2region/xdb/LongByteArray.java,https://github.com/lionsoul2014/ip2region/blob/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/java/src/main/java/org/lionsoul/ip2region/xdb/LongByteArray.java,// when EOF is true means we cannot call the #append anymore.,guideline-files/lionsoul2014/ip2region/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/java/src/main/java/org/lionsoul/ip2region/xdb/LongByteArray.java
lionsoul2014/ip2region,5a401aaebbe26b80cf0702bcc1934f1a556c9cf7,binding/java/src/main/java/org/lionsoul/ip2region/xdb/Util.java,https://github.com/lionsoul2014/ip2region/blob/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/java/src/main/java/org/lionsoul/ip2region/xdb/Util.java,// returns: byte[4] for IPv4 and byte[16] for IPv6 and the bytes should be in Big endian order.,guideline-files/lionsoul2014/ip2region/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/java/src/main/java/org/lionsoul/ip2region/xdb/Util.java
lionsoul2014/ip2region,5a401aaebbe26b80cf0702bcc1934f1a556c9cf7,binding/javascript/util.js,https://github.com/lionsoul2014/ip2region/blob/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/javascript/util.js,// ONLY one double colon allow,guideline-files/lionsoul2014/ip2region/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/javascript/util.js
lionsoul2014/ip2region,5a401aaebbe26b80cf0702bcc1934f1a556c9cf7,binding/lua/xdb_searcher.lua,https://github.com/lionsoul2014/ip2region/blob/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/lua/xdb_searcher.lua,-- ONLY one double colon allow,guideline-files/lionsoul2014/ip2region/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/lua/xdb_searcher.lua
lionsoul2014/ip2region,5a401aaebbe26b80cf0702bcc1934f1a556c9cf7,binding/nginx/src/ngx_http_ip2region_module.c,https://github.com/lionsoul2014/ip2region/blob/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/nginx/src/ngx_http_ip2region_module.c,"/* ngx_module_t is required, otherwise failed at complie time */",guideline-files/lionsoul2014/ip2region/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/nginx/src/ngx_http_ip2region_module.c
lionsoul2014/ip2region,5a401aaebbe26b80cf0702bcc1934f1a556c9cf7,binding/rust/ip2region/benches/search.rs,https://github.com/lionsoul2014/ip2region/blob/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/rust/ip2region/benches/search.rs,"/// The range of IPv6 is too large, and the value range needs to be limited to
/// make the benchmark test results closer to the production environment",guideline-files/lionsoul2014/ip2region/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/rust/ip2region/benches/search.rs
lionsoul2014/ip2region,5a401aaebbe26b80cf0702bcc1934f1a556c9cf7,binding/cangjie/src/tests/service/config_test.cj,https://github.com/lionsoul2014/ip2region/blob/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/cangjie/src/tests/service/config_test.cj,vIndex should be loaded,guideline-files/lionsoul2014/ip2region/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/cangjie/src/tests/service/config_test.cj
lionsoul2014/ip2region,5a401aaebbe26b80cf0702bcc1934f1a556c9cf7,binding/cangjie/src/tests/service/ip2region_test.cj,https://github.com/lionsoul2014/ip2region/blob/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/cangjie/src/tests/service/ip2region_test.cj,v4 search should return result,guideline-files/lionsoul2014/ip2region/5a401aaebbe26b80cf0702bcc1934f1a556c9cf7/binding/cangjie/src/tests/service/ip2region_test.cj
