repository,human_labeled_files,resolved_predictions,true_positives,false_positives,false_negatives,true_negatives,review_decisions,model_errors,missing_predictions,resolved_accuracy,strict_accuracy
carbon-design-system/carbon,74,74,4,0,4,66,0,0,0,0.945946,0.945946
agronholm/anyio,1,1,0,0,1,0,0,0,0,0.0,0.0
autonumeric/autonumeric,2,2,0,0,1,1,0,0,0,0.5,0.5
clerk/javascript,57,57,9,0,1,47,0,0,0,0.982456,0.982456
destinyitemmanager/dim,4,4,1,0,1,2,0,0,0,0.75,0.75
kubernetes-client/python,50,50,1,0,1,48,0,0,0,0.98,0.98
module-federation/core,46,46,4,0,1,41,0,0,0,0.978261,0.978261
openlayers/openlayers,6,6,1,0,1,4,0,0,0,0.833333,0.833333
puppeteer/puppeteer,10,10,2,0,1,7,0,0,0,0.9,0.9
apache/incubator-kie-drools,24,24,5,0,0,19,0,0,0,1.0,1.0
apache/rocketmq,17,17,1,0,0,16,0,0,0,1.0,1.0
apache/shardingsphere,158,158,1,0,0,157,0,0,0,1.0,1.0
c3js/c3,1,1,0,0,0,1,0,0,0,1.0,1.0
decaporg/decap-cms,7,7,1,0,0,6,0,0,0,1.0,1.0
deepstreamio/deepstream.io,1,1,0,0,0,1,0,0,0,1.0,1.0
fastrepl/hyprnote,7,7,1,0,0,6,0,0,0,1.0,1.0
getgauge/taiko,5,5,0,0,0,5,0,0,0,1.0,1.0
jetty/jetty.project,2,2,0,0,0,2,0,0,0,1.0,1.0
karakeep-app/karakeep,15,15,1,0,0,14,0,0,0,1.0,1.0
lexiforest/curl_cffi,3,3,1,0,0,2,0,0,0,1.0,1.0
lionsoul2014/ip2region,3,3,0,0,0,3,0,0,0,1.0,1.0
logisim-evolution/logisim-evolution,4,4,0,0,0,4,0,0,0,1.0,1.0
modernweb-dev/web,12,12,0,0,0,12,0,0,0,1.0,1.0
nodeca/js-yaml,1,1,0,0,0,1,0,0,0,1.0,1.0
NVIDIA/earth2studio,19,19,4,0,0,15,0,0,0,1.0,1.0
NVIDIA/TransformerEngine,3,3,0,0,0,3,0,0,0,1.0,1.0
onnx/onnx,10,9,3,0,0,6,1,0,0,1.0,0.9
opendatalab/MinerU,2,2,0,0,0,2,0,0,0,1.0,1.0
openid/appauth-android,5,5,0,0,0,5,0,0,0,1.0,1.0
papermc/velocity,2,2,0,0,0,2,0,0,0,1.0,1.0
parse-community/parse-server-example,1,1,0,0,0,1,0,0,0,1.0,1.0
plankanban/planka,4,4,0,0,0,4,0,0,0,1.0,1.0
plantuml/plantuml,27,27,3,0,0,24,0,0,0,1.0,1.0
RunMaestro/Maestro,17,17,7,0,0,10,0,0,0,1.0,1.0
salesforce/lwc,15,15,1,0,0,14,0,0,0,1.0,1.0
shaka-project/shaka-player,9,9,1,0,0,8,0,0,0,1.0,1.0
sofastack/sofa-tracer,2,2,0,0,0,2,0,0,0,1.0,1.0
spesmilo/electrum,9,9,1,0,0,8,0,0,0,1.0,1.0
svgdotjs/svg.js,1,1,0,0,0,1,0,0,0,1.0,1.0
tensorflow/recommenders,1,1,0,0,0,1,0,0,0,1.0,1.0
torakiki/pdfsam,2,2,0,0,0,2,0,0,0,1.0,1.0
ui-lovelace-minimalist/ui,23,23,0,0,0,23,0,0,0,1.0,1.0
upstash/context7,20,20,0,0,0,20,0,0,0,1.0,1.0
verl-project/verl,26,26,2,0,0,24,0,0,0,1.0,1.0
vitejs/vite-plugin-react,19,19,1,0,0,18,0,0,0,1.0,1.0
