name,lastCommitSHA,status,error,markdown_filename_file_count,markdown_filename_and_content_file_count,agent_evidence_file_count,agent_evidence_markdown_file_count,agent_evidence_filename_match_count,agent_evidence_filename_and_content_match_count,agent_evidence_not_evaluated_count
lionsoul2014/ip2region,5a401aaebbe26b80cf0702bcc1934f1a556c9cf7,completed,,42,3,0,0,0,0,0
openid/appauth-android,e5f51842fd1d3c7e49d9b6642e346f43f495dac8,completed,,6,5,0,0,0,0,0
apache/incubator-kie-drools,1b022f1d61ba2674d07739f01d6ddf91c37fcea3,completed,,50,24,0,0,0,0,0
jetty/jetty.project,840a68d3316236f49ac06a5ad2be2e73d9632f4a,completed,,4,2,0,0,0,0,0
nutzam/nutz,9a93a8342f22918933b0caea3940a8465caa4053,completed,,3,0,0,0,0,0,0
plantuml/plantuml,085c1231d0b4bdce1ff769788c269bf38de3ff4e,completed,,126,27,0,0,0,0,0
influxdata/influxdb-java,6d99c7ec34767839c5881e4da0015dafab437136,completed,,1,0,0,0,0,0,0
papermc/velocity,00759e52790e85e148efc08adb7e7dd29e6c5110,completed,,3,2,0,0,0,0,0
logisim-evolution/logisim-evolution,7a0ab419d82884a99e276119ab01893b487ab87a,completed,,6,4,0,0,0,0,0
apache/rocketmq,51f9fcc49308f6ab6f779f97fdea075463056aeb,completed,,26,17,0,0,0,0,0
apache/shardingsphere,ba53784e1721b9582ed00713797c9074b69c33a6,completed,,166,158,0,0,0,0,0
torakiki/pdfsam,2930a4f4b3501dbe6a4dabbd1f7bca2858d36da8,completed,,2,2,0,0,0,0,0
sofastack/sofa-tracer,63a37a79330786bbbf623913c0848a24aa58061c,completed,,2,2,0,0,0,0,0
getgauge/taiko,67299f0b4f3c944d9389074f40224bb815e332ee,completed,,8,5,0,0,0,0,0
tape-testing/tape,a53bbbe6fa0d62cbbd41de6092511c3cd2584a38,completed,,0,0,0,0,0,0,0
svgdotjs/svg.js,6f58d4b2aa10e2d7ed6e38ff84caeb04b210af4e,completed,,2,1,0,0,0,0,0
plankanban/planka,856768c45e60bb42eb54edb44a0d59a67118347f,completed,,5,4,0,0,0,0,0
salesforce/lwc,ede446834bc888ce4aaa781f209b0da33b37c99f,completed,,41,15,0,0,0,0,0
decaporg/decap-cms,e50c1b16fb22421adaaea6aa104cf68045ebdbbf,completed,,42,7,0,0,0,0,0
c3js/c3,477b7590f33acad219846c404ba48af71d6928ae,completed,,2,1,0,0,0,0,0
shaka-project/shaka-player,f9c6fcdf473cc5c1867afa0a1e575d00198ea02f,completed,,15,9,0,0,0,0,0
ui-lovelace-minimalist/ui,b1da15140435ca23041f9568ae254ba34b003810,completed,,75,23,0,0,0,0,0
openlayers/openlayers,140be96d1712cabf4f4e1d1dcc06d68500bfc34b,completed,,12,6,0,0,0,0,0
module-federation/core,641a0b6edc0f30865586e7d021522bfa27051c4c,completed,,111,46,0,0,0,0,0
parse-community/parse-server-example,77e5860644a943d7fb675e210ccafbab89cb4975,completed,,1,1,0,0,0,0,0
autonumeric/autonumeric,7e7a2c3a5a03fc7ea4899f046b411926f831e82f,completed,,2,2,0,0,0,0,0
verl-project/verl,e357354528c01fc992d9d9e10f5cb1a0301faaf0,completed,,56,26,0,0,0,0,0
lexiforest/curl_cffi,965508e0cd777369bd2f825162da6dbde9140f4e,completed,,3,3,0,0,0,0,0
opendatalab/MinerU,79d6d8d79fb8f3ddba5cc34c07a16f0ec36f56c7,completed,,4,2,0,0,0,0,0
onnx/onnx,57bb876250ecc07623a744512d94b44221fb3ed8,completed,,12,10,0,0,0,0,0
spesmilo/electrum,ebe20010111f00dad2d8bd52ac2a6030d3b26d8b,completed,,17,9,0,0,0,0,0
NVIDIA/earth2studio,7f78468a54d6144ea46bfd4e82beaeee4b572304,completed,,25,19,0,0,0,0,0
NVIDIA/TransformerEngine,bffde8f4a0a4eea9036dc753e28269247e5de69d,completed,,7,3,0,0,0,0,0
tensorflow/recommenders,48aba88b43501a6f0104b21cb99e24bb71ac5514,completed,,2,1,0,0,0,0,0
wxwidgets/phoenix,b84756bda627807172ca0e37457a2faf9da8e960,completed,,2,0,0,0,0,0,0
agronholm/anyio,003e5d6bc3eba8f4e75bf2b2b5fb3f7dd11e6330,completed,,2,1,0,0,0,0,0
kubernetes-client/python,cac97ce26896ab8b55fc7e20431f0b70c89be7e1,completed,,74,50,0,0,0,0,0
carltongibson/django-filter,5128b8fde88b13a2f4e9a04bb0296756fa1cc848,completed,,0,0,0,0,0,0,0
upstash/context7,903a057dcc6937ec53e4f7397b0bd18fce6b0b3c,completed,,27,20,0,0,0,0,0
carbon-design-system/carbon,79d912be2d8af31bacd73944075bab4944ef56e0,completed,,94,74,0,0,0,0,0
puppeteer/puppeteer,33566d2dbb6485a459b9fc3826914b986c08e01e,completed,,23,10,0,0,0,0,0
destinyitemmanager/dim,2c2ec8563c5f6c042e212cc8b7ed0bca3581e00f,completed,,7,4,0,0,0,0,0
modernweb-dev/web,0bdb0e3ec1defb1c55f915ee286adeedec240560,completed,,43,12,0,0,0,0,0
vitejs/vite-plugin-react,f97d9593f68b71d9c75970e7ca6e4caeb5806ddf,completed,,27,19,0,0,0,0,0
deepstreamio/deepstream.io,c8f257fb44029fc0ea4b7da7ec5397a4fcd21405,completed,,1,1,0,0,0,0,0
karakeep-app/karakeep,764ba850b7e87a4ba9a5b3c456095898eede1976,completed,,20,15,0,0,0,0,0
nodeca/js-yaml,e2dc2a7fdfcf544e86c1e77df9bb03c405eeb0cb,completed,,2,1,0,0,0,0,0
clerk/javascript,3088d7d2f0042c4c84af81ab622cc995df99ce1d,completed,,64,57,0,0,0,0,0
RunMaestro/Maestro,e3479fe05b3953248bd72b7e2d4b0ace23d18369,completed,,20,17,0,0,0,0,0
fastrepl/hyprnote,443317403262a0e87046f20acfffd590ecea6222,completed,,33,7,0,0,0,0,0
