id,name,isFork,commits,branches,releases,forks,mainLanguage,defaultBranch,license,homepage,watchers,stargazers,contributors,size,createdAt,pushedAt,updatedAt,totalIssues,openIssues,totalPullRequests,openPullRequests,blankLines,codeLines,commentLines,metrics,lastCommit,lastCommitSHA,hasWiki,isArchived,isDisabled,isLocked,languages,labels,topics
3260743,lionsoul2014/ip2region,false,1319,4,24,3042,Java,master,Other,https://ip2region.net,432,19386,47,272587,2015-11-02T12:43:13,2026-08-06T08:04:48,2026-08-06T08:04:48,289,3,222,5,5562,26917,2756,"[{""language"":""make"",""commentLines"":2,""codeLines"":78,""blankLines"":28},{""language"":""Ant"",""commentLines"":15,""codeLines"":122,""blankLines"":14},{""language"":""Bourne Shell"",""commentLines"":3,""codeLines"":28,""blankLines"":6},{""language"":""Lua"",""commentLines"":196,""codeLines"":1324,""blankLines"":251},{""language"":""JavaScript"",""commentLines"":124,""codeLines"":825,""blankLines"":174},{""language"":""C/C++ Header"",""commentLines"":76,""codeLines"":349,""blankLines"":162},{""language"":""DOS Batch"",""commentLines"":1,""codeLines"":13,""blankLines"":4},{""language"":""CSV"",""commentLines"":0,""codeLines"":3461,""blankLines"":0},{""language"":""C"",""commentLines"":235,""codeLines"":2067,""blankLines"":489},{""language"":""Python"",""commentLines"":312,""codeLines"":915,""blankLines"":204},{""language"":""Go"",""commentLines"":597,""codeLines"":4068,""blankLines"":853},{""language"":""TypeScript"",""commentLines"":10,""codeLines"":62,""blankLines"":12},{""language"":""MSBuild script"",""commentLines"":0,""codeLines"":149,""blankLines"":30},{""language"":""C#"",""commentLines"":254,""codeLines"":960,""blankLines"":243},{""language"":""M4"",""commentLines"":51,""codeLines"":6,""blankLines"":6},{""language"":""PHP"",""commentLines"":168,""codeLines"":906,""blankLines"":181},{""language"":""XML"",""commentLines"":3,""codeLines"":10,""blankLines"":0},{""language"":""Markdown"",""commentLines"":0,""codeLines"":5771,""blankLines"":1685},{""language"":""Dockerfile"",""commentLines"":10,""codeLines"":40,""blankLines"":22},{""language"":""Java"",""commentLines"":536,""codeLines"":2754,""blankLines"":695},{""language"":""TOML"",""commentLines"":3,""codeLines"":70,""blankLines"":10},{""language"":""C++"",""commentLines"":15,""codeLines"":750,""blankLines"":198},{""language"":""Text"",""commentLines"":0,""codeLines"":25,""blankLines"":0},{""language"":""INI"",""commentLines"":0,""codeLines"":19,""blankLines"":6},{""language"":""JSON"",""commentLines"":0,""codeLines"":82,""blankLines"":0},{""language"":""Maven"",""commentLines"":7,""codeLines"":370,""blankLines"":27},{""language"":""Rust"",""commentLines"":44,""codeLines"":946,""blankLines"":152},{""language"":""Erlang"",""commentLines"":94,""codeLines"":747,""blankLines"":110}]",2026-08-06T08:04:28,5a401aaebbe26b80cf0702bcc1934f1a556c9cf7,true,false,false,false,"{""Java"":140063,""Go"":138556,""C"":92639,""Cangjie"":54559,""Lua"":49490,""C#"":45959,""Python"":45932,""Rust"":35480,""Erlang"":35117,""PHP"":34863,""JavaScript"":32763,""C++"":29476,""TypeScript"":5885,""M4"":4494,""Makefile"":2299,""Dockerfile"":2126,""LabVIEW"":1549,""Shell"":1029,""Perl"":375,""Batchfile"":231}",bug;dependencies;duplicate;enhancement;help wanted;invalid;java;javascript;maven过滤xdb;question;wontfix;数据源补充,ip-address;ip-address-database;ip-address-location;ip-location;ip-lookup;ipv4-address;ipv4-lookup;ipv4-support;ipv6-address;ipv6-lookup;ipv6-support;xdb-engine;xdb-ipv4;xdb-ipv6
3273224,openid/appauth-android,false,347,5,0,994,Java,master,Apache License 2.0,https://openid.github.io/AppAuth-Android,243,3208,44,1514,2016-02-19T03:09:43,2026-03-22T08:54:07,2026-03-30T10:30:50,770,215,260,20,3588,16579,5750,"[{""language"":""JSON"",""commentLines"":0,""codeLines"":12,""blankLines"":0},{""language"":""SVG"",""commentLines"":0,""codeLines"":1,""blankLines"":0},{""language"":""Bourne Shell"",""commentLines"":36,""codeLines"":126,""blankLines"":21},{""language"":""DOS Batch"",""commentLines"":2,""codeLines"":74,""blankLines"":24},{""language"":""Java"",""commentLines"":5488,""codeLines"":14372,""blankLines"":3106},{""language"":""Gradle"",""commentLines"":13,""codeLines"":362,""blankLines"":46},{""language"":""Properties"",""commentLines"":1,""codeLines"":21,""blankLines"":4},{""language"":""YAML"",""commentLines"":0,""codeLines"":26,""blankLines"":6},{""language"":""Markdown"",""commentLines"":13,""codeLines"":882,""blankLines"":231},{""language"":""XML"",""commentLines"":197,""codeLines"":695,""blankLines"":149},{""language"":""INI"",""commentLines"":0,""codeLines"":8,""blankLines"":1}]",2026-03-22T08:54:07,e5f51842fd1d3c7e49d9b6642e346f43f495dac8,false,false,false,false,"{""Java"":885908}",browser-behavior;browser-bug;bug;demo-app;demo-bug;documentation;duplicate;enhancement;help wanted;invalid;manifest;more-info-required;oauth2-semantics;openid-cla: no;openid-cla: yes;out-of-scope;provider-behavior;provider-bug;question;redirect-handling;waiting-for-response;wontfix,android-sdk;oauth2;openid-connect
94602013,apache/incubator-kie-drools,false,26790,237,7,2589,Java,main,Apache License 2.0,https://kie.apache.org,300,6275,315,523856,2011-02-18T08:37:05,2026-07-14T08:58:20,2026-07-14T08:58:26,365,100,6441,13,329628,4663411,530807,"[{""language"":""Gradle"",""commentLines"":39,""codeLines"":61,""blankLines"":12},{""language"":""Freemarker Template"",""commentLines"":28,""codeLines"":1710,""blankLines"":45},{""language"":""GraphQL"",""commentLines"":9,""codeLines"":906,""blankLines"":90},{""language"":""Protocol Buffers"",""commentLines"":719,""codeLines"":1158,""blankLines"":235},{""language"":""XML"",""commentLines"":51177,""codeLines"":378605,""blankLines"":6282},{""language"":""XSLT"",""commentLines"":75,""codeLines"":487,""blankLines"":52},{""language"":""YAML"",""commentLines"":2655,""codeLines"":4272,""blankLines"":350},{""language"":""Markdown"",""commentLines"":1975,""codeLines"":4884,""blankLines"":2155},{""language"":""SVG"",""commentLines"":1450,""codeLines"":60922,""blankLines"":155},{""language"":""DTD"",""commentLines"":18,""codeLines"":1,""blankLines"":2},{""language"":""Objective-C++"",""commentLines"":0,""codeLines"":182902,""blankLines"":0},{""language"":""Solidity"",""commentLines"":0,""codeLines"":20,""blankLines"":0},{""language"":""HTML"",""commentLines"":708,""codeLines"":850,""blankLines"":236},{""language"":""Bourne Again Shell"",""commentLines"":21,""codeLines"":13,""blankLines"":5},{""language"":""JSON"",""commentLines"":0,""codeLines"":2112448,""blankLines"":13},{""language"":""Dockerfile"",""commentLines"":102,""codeLines"":18,""blankLines"":0},{""language"":""Java"",""commentLines"":423927,""codeLines"":1369064,""blankLines"":292165},{""language"":""XSD"",""commentLines"":180,""codeLines"":2947,""blankLines"":3058},{""language"":""PlantUML"",""commentLines"":601,""codeLines"":5104,""blankLines"":253},{""language"":""CSV"",""commentLines"":0,""codeLines"":150,""blankLines"":4},{""language"":""Bourne Shell"",""commentLines"":416,""codeLines"":641,""blankLines"":153},{""language"":""make"",""commentLines"":32,""codeLines"":70,""blankLines"":18},{""language"":""JavaScript"",""commentLines"":1967,""codeLines"":8193,""blankLines"":2106},{""language"":""Drools"",""commentLines"":19711,""codeLines"":33663,""blankLines"":9491},{""language"":""SQL"",""commentLines"":2048,""codeLines"":1704,""blankLines"":355},{""language"":""AsciiDoc"",""commentLines"":204,""codeLines"":2642,""blankLines"":742},{""language"":""Maven"",""commentLines"":16688,""codeLines"":73840,""blankLines"":8231},{""language"":""Groovy"",""commentLines"":216,""codeLines"":484,""blankLines"":118},{""language"":""CSS"",""commentLines"":96,""codeLines"":6397,""blankLines"":998},{""language"":""TNSDL"",""commentLines"":0,""codeLines"":3,""blankLines"":0},{""language"":""Ruby"",""commentLines"":18,""codeLines"":22,""blankLines"":13},{""language"":""DOS Batch"",""commentLines"":27,""codeLines"":337,""blankLines"":70},{""language"":""Handlebars"",""commentLines"":56,""codeLines"":43,""blankLines"":12},{""language"":""ANTLR Grammar"",""commentLines"":779,""codeLines"":8725,""blankLines"":1351},{""language"":""Text"",""commentLines"":0,""codeLines"":398518,""blankLines"":202},{""language"":""Properties"",""commentLines"":4865,""codeLines"":1607,""blankLines"":656}]",2026-07-14T08:58:19,1b022f1d61ba2674d07739f01d6ddf91c37fcea3,false,false,false,false,"{""Java"":64816161,""GAP"":205835,""Go Template"":106996,""FreeMarker"":103827,""ANTLR"":102091,""HTML"":33959,""XSLT"":27496,""ASL"":26920,""Groovy"":19338,""Shell"":17982,""JavaScript"":9134,""Batchfile"":6937,""Handlebars"":5189,""Makefile"":4106,""CSS"":3702,""Ruby"":1281}",6.5.x;apache:compliance;backport-7.67.x;backport-7.67.x-blue;backport-7.x;backport-8.33.x;backport-8.34.x;backport-8.35.x;backport-8.39.x;backport-8.40.x;backport-8.40.x-prod;backport-8.42.x;backport-9.42.x;backport-9.x;backport-main;cherry-pick :cherries:;dependencies;dmn;do-not-merge;dsl-test;epic;github_actions;good-first-issue;hacktoberfest;java;javascript;kogito downstream;pmml;rebase-needed;refactor;rules;run_fdb;skip-ci;target:10.1.0;waiting_for_cp;working_in_progress,apache;dmn;hacktoberfest;java;rule-engine
94602159,jetty/jetty.project,false,32472,84,154,2007,Java,jetty-12.1.x,Other,https://jetty.org/,253,4090,225,288112,2011-07-14T01:11:57,2026-08-06T05:43:26,2026-08-06T12:21:13,6671,221,8737,56,168348,1186397,201811,"[{""language"":""CSS"",""commentLines"":4,""codeLines"":421,""blankLines"":73},{""language"":""INI"",""commentLines"":0,""codeLines"":26,""blankLines"":5},{""language"":""Text"",""commentLines"":0,""codeLines"":41378,""blankLines"":3222},{""language"":""HTML"",""commentLines"":33,""codeLines"":2045,""blankLines"":198},{""language"":""JSON"",""commentLines"":0,""codeLines"":131680,""blankLines"":0},{""language"":""Java"",""commentLines"":192987,""codeLines"":916881,""blankLines"":153179},{""language"":""XSD"",""commentLines"":0,""codeLines"":264,""blankLines"":23},{""language"":""PlantUML"",""commentLines"":1,""codeLines"":365,""blankLines"":68},{""language"":""Protocol Buffers"",""commentLines"":0,""codeLines"":16,""blankLines"":3},{""language"":""Properties"",""commentLines"":918,""codeLines"":1079,""blankLines"":19},{""language"":""JSP"",""commentLines"":0,""codeLines"":354,""blankLines"":51},{""language"":""YAML"",""commentLines"":45,""codeLines"":868,""blankLines"":42},{""language"":""Markdown"",""commentLines"":5,""codeLines"":329,""blankLines"":126},{""language"":""Bourne Shell"",""commentLines"":201,""codeLines"":748,""blankLines"":149},{""language"":""XML"",""commentLines"":4643,""codeLines"":20046,""blankLines"":2227},{""language"":""Ant"",""commentLines"":17,""codeLines"":20,""blankLines"":2},{""language"":""JavaScript"",""commentLines"":12,""codeLines"":1041,""blankLines"":51},{""language"":""SQL"",""commentLines"":0,""codeLines"":40,""blankLines"":8},{""language"":""AsciiDoc"",""commentLines"":945,""codeLines"":15396,""blankLines"":5924},{""language"":""XSLT"",""commentLines"":0,""codeLines"":76,""blankLines"":6},{""language"":""Groovy"",""commentLines"":462,""codeLines"":587,""blankLines"":164},{""language"":""SVG"",""commentLines"":4,""codeLines"":2374,""blankLines"":3},{""language"":""Maven"",""commentLines"":457,""codeLines"":49753,""blankLines"":2408},{""language"":""DTD"",""commentLines"":1077,""codeLines"":610,""blankLines"":397}]",2026-08-06T12:20:55,840a68d3316236f49ac06a5ad2be2e73d9632f4a,false,false,false,false,"{""Java"":46113245,""JavaScript"":257203,""AMPL"":187910,""HTML"":128910,""Groovy"":61818,""Shell"":30239,""CSS"":20731,""XSLT"":2658}",Unsupported release;bad-idea;behavior-change;bug;build;build-all-tests;build-no-cache;dependencies;do not merge;documentation;duplicate;eclipse-dash;enhancement;flaky-test;force-build-cache;github_actions;help wanted;high priority;http client;http3;java;jvm issue;low priority;mac osx;medium priority;microsoft windows;missing eca;more info required;need test;not a bug;ongoing;outstanding bug report!;performance;pinned;question;save-home;security;specification;sponsored;stale;task;tck;test;third party;triage;unable to replicate,eclipse;embedded;fcgi;http;http-client;http-server;http2;http3;https;jakartaee;java;jetty;jpms;jsp;osgi;servlet;ssl;tls;unix-socket;websockets
47823,nutzam/nutz,false,6289,33,23,916,Java,master,Apache License 2.0,https://nutzam.com,268,2542,70,44548,2011-06-10T01:25:43,2026-08-04T03:17:39,2026-08-04T03:17:44,1340,54,277,12,21654,107575,33149,"[{""language"":""Maven"",""commentLines"":0,""codeLines"":337,""blankLines"":8},{""language"":""Properties"",""commentLines"":51,""codeLines"":65,""blankLines"":15},{""language"":""Ant"",""commentLines"":6,""codeLines"":55,""blankLines"":11},{""language"":""Text"",""commentLines"":0,""codeLines"":289,""blankLines"":38},{""language"":""Assembly"",""commentLines"":2,""codeLines"":3,""blankLines"":2},{""language"":""Bourne Shell"",""commentLines"":0,""codeLines"":12,""blankLines"":3},{""language"":""Markdown"",""commentLines"":0,""codeLines"":95,""blankLines"":55},{""language"":""JavaScript"",""commentLines"":276,""codeLines"":1213,""blankLines"":34},{""language"":""JSP"",""commentLines"":1,""codeLines"":112,""blankLines"":3},{""language"":""YAML"",""commentLines"":2,""codeLines"":20,""blankLines"":5},{""language"":""DOS Batch"",""commentLines"":0,""codeLines"":9,""blankLines"":2},{""language"":""XSD"",""commentLines"":9,""codeLines"":294,""blankLines"":7},{""language"":""Ruby"",""commentLines"":35,""codeLines"":528,""blankLines"":134},{""language"":""SQL"",""commentLines"":0,""codeLines"":30,""blankLines"":8},{""language"":""Java"",""commentLines"":32499,""codeLines"":100425,""blankLines"":21156},{""language"":""Gradle"",""commentLines"":1,""codeLines"":54,""blankLines"":4},{""language"":""Python"",""commentLines"":9,""codeLines"":15,""blankLines"":10},{""language"":""CSS"",""commentLines"":30,""codeLines"":508,""blankLines"":81},{""language"":""HTML"",""commentLines"":0,""codeLines"":165,""blankLines"":20},{""language"":""XML"",""commentLines"":228,""codeLines"":1240,""blankLines"":57},{""language"":""JSON"",""commentLines"":0,""codeLines"":2106,""blankLines"":1}]",2026-08-04T03:17:05,9a93a8342f22918933b0caea3940a8465caa4053,false,false,false,false,"{""Java"":4678566,""Ruby"":16672,""JavaScript"":7578,""Python"":782,""Batchfile"":301,""Shell"":263,""Assembly"":202,""Procfile"":43}",0 - backlog;1 - ready;2 - working;3 - done;aop;dao;dependencies;el;faq;help wanted;http;ioc;java;json;lang;mapl;mvc;socket;不接纳;开发任务;意见箱;文档;重要;需求;项目维护,aop;ioc;java;javaee;micro-framework;nutz;orm
20130,plantuml/plantuml,false,3058,141,73,1225,Java,master,GNU Lesser General Public License v3.0,https://plantuml.com,143,13227,122,1168568,2010-11-04T03:55:50,2026-08-06T05:45:14,2026-08-06T05:45:28,1592,582,1001,18,71624,382568,154992,"[{""language"":""Markdown"",""commentLines"":3,""codeLines"":7232,""blankLines"":2213},{""language"":""Gradle"",""commentLines"":393,""codeLines"":2258,""blankLines"":386},{""language"":""TeX"",""commentLines"":0,""codeLines"":262,""blankLines"":5},{""language"":""Bourne Shell"",""commentLines"":244,""codeLines"":525,""blankLines"":128},{""language"":""PlantUML"",""commentLines"":977,""codeLines"":17595,""blankLines"":2577},{""language"":""Properties"",""commentLines"":0,""codeLines"":74,""blankLines"":0},{""language"":""XSLT"",""commentLines"":13,""codeLines"":153,""blankLines"":20},{""language"":""SVG"",""commentLines"":99,""codeLines"":10532,""blankLines"":4},{""language"":""XMI"",""commentLines"":0,""codeLines"":117,""blankLines"":0},{""language"":""JavaScript"",""commentLines"":110,""codeLines"":54644,""blankLines"":123},{""language"":""Ant"",""commentLines"":52,""codeLines"":174,""blankLines"":49},{""language"":""YAML"",""commentLines"":70,""codeLines"":1154,""blankLines"":204},{""language"":""HTML"",""commentLines"":132,""codeLines"":1663,""blankLines"":221},{""language"":""Text"",""commentLines"":0,""codeLines"":17899,""blankLines"":1771},{""language"":""CSS"",""commentLines"":6,""codeLines"":357,""blankLines"":57},{""language"":""INI"",""commentLines"":0,""codeLines"":27,""blankLines"":6},{""language"":""TOML"",""commentLines"":5,""codeLines"":36,""blankLines"":6},{""language"":""DOS Batch"",""commentLines"":2,""codeLines"":88,""blankLines"":25},{""language"":""Java"",""commentLines"":152878,""codeLines"":263914,""blankLines"":63802},{""language"":""XML"",""commentLines"":2,""codeLines"":103,""blankLines"":0},{""language"":""TypeScript"",""commentLines"":4,""codeLines"":88,""blankLines"":16},{""language"":""Dockerfile"",""commentLines"":2,""codeLines"":56,""blankLines"":11},{""language"":""JSON"",""commentLines"":0,""codeLines"":3617,""blankLines"":0}]",2026-08-06T05:45:13,085c1231d0b4bdce1ff769788c269bf38de3ff4e,true,false,false,false,"{""Java"":16049651,""HTML"":75653,""JavaScript"":32081,""Kotlin"":30543,""TeX"":20930,""CSS"":7825,""XSLT"":7603,""Shell"":6079,""Dockerfile"":2052,""Batchfile"":581}",bug;codex;dependencies;diag:gantt;diag:timing;documentation;duplicate;enhancement;for-claude;github_actions;good first issue;help wanted;invalid;java;javascript;jsplantuml;m:docker;m:docs;m:gradle;m:json;m:license;m:native;m:puma;m:release;m:source;m:teoz;m:test;m:workflow;ongoing;p:backlog;p:done;p:ready-to-implement;p:wip;smetana;stale;style;t:discussion;t:docker;t:info-needed;t:licensing;t:plantuml.com;triage;wontfix,diagram;diagram-as-code;diagrams;diagrams-as-code;java;plantuml;uml;uml-diagram
1171595,influxdata/influxdb-java,false,1286,11,3,474,Java,master,MIT License,,102,1199,84,1621,2014-04-30T06:56:32,2026-03-01T02:48:38,2026-03-01T02:48:43,472,96,548,15,3467,15218,2802,"[{""language"":""Maven"",""commentLines"":12,""codeLines"":441,""blankLines"":6},{""language"":""Bourne Shell"",""commentLines"":10,""codeLines"":98,""blankLines"":18},{""language"":""Markdown"",""commentLines"":0,""codeLines"":1302,""blankLines"":492},{""language"":""XML"",""commentLines"":34,""codeLines"":113,""blankLines"":24},{""language"":""YAML"",""commentLines"":12,""codeLines"":84,""blankLines"":18},{""language"":""Java"",""commentLines"":2734,""codeLines"":13180,""blankLines"":2909}]",2026-03-01T02:48:38,6d99c7ec34767839c5881e4da0015dafab437136,true,false,false,false,"{""Java"":627188,""Shell"":4344}",breaking-change;dependencies;difficulty/high;difficulty/low;difficulty/medium;help wanted;java;kind/bug;kind/enhancement;kind/feature-request;need-more-info;nop/duplicate;nop/invalid;nop/wontfix;proposed;question,
55282485,papermc/velocity,false,2423,27,0,941,Java,dev/4.0.0,GNU General Public License v3.0,https://papermc.io/software/velocity,49,2230,170,9171,2018-07-24T12:51:53,2026-08-03T01:09:10,2026-08-06T11:52:18,912,112,943,82,7711,39701,15970,"[{""language"":""Dockerfile"",""commentLines"":11,""codeLines"":30,""blankLines"":7},{""language"":""C"",""commentLines"":27,""codeLines"":212,""blankLines"":23},{""language"":""Markdown"",""commentLines"":0,""codeLines"":94,""blankLines"":46},{""language"":""C/C++ Header"",""commentLines"":0,""codeLines"":3,""blankLines"":1},{""language"":""Properties"",""commentLines"":627,""codeLines"":1575,""blankLines"":35},{""language"":""Gradle"",""commentLines"":13,""codeLines"":414,""blankLines"":64},{""language"":""XML"",""commentLines"":35,""codeLines"":375,""blankLines"":16},{""language"":""Bourne Shell"",""commentLines"":125,""codeLines"":191,""blankLines"":51},{""language"":""YAML"",""commentLines"":2,""codeLines"":135,""blankLines"":17},{""language"":""Java"",""commentLines"":15027,""codeLines"":36449,""blankLines"":7383},{""language"":""DOS Batch"",""commentLines"":2,""codeLines"":70,""blankLines"":21},{""language"":""Kotlin"",""commentLines"":0,""codeLines"":5,""blankLines"":1},{""language"":""TOML"",""commentLines"":101,""codeLines"":126,""blankLines"":44},{""language"":""Text"",""commentLines"":0,""codeLines"":22,""blankLines"":2}]",2026-08-03T01:09:05,00759e52790e85e148efc08adb7e7dd29e6c5110,false,false,false,false,"{""Java"":2057235,""C"":8434,""Shell"":4931,""Dockerfile"":1286,""Kotlin"":200}",good first issue;help wanted;localization;meta;out of scope;plugin issue;resolution: cannot reproduce;resolution: duplicate;resolution: invalid;resolution: won't fix;stale;status: awaiting response;status: in progress;type: bug;type: feature,forge;java;minecraft;minecraft-forge;minecraft-server-proxy;server-proxy;velocity
22842620,logisim-evolution/logisim-evolution,false,6498,1,32,983,Java,main,GNU General Public License v3.0,,78,7401,154,121599,2014-09-19T05:23:24,2026-08-06T01:46:36,2026-08-06T01:48:35,1086,146,1505,9,32533,347019,45283,"[{""language"":""Java"",""commentLines"":20635,""codeLines"":180212,""blankLines"":25264},{""language"":""Properties"",""commentLines"":19720,""codeLines"":26334,""blankLines"":17},{""language"":""XML"",""commentLines"":654,""codeLines"":5887,""blankLines"":247},{""language"":""DOS Batch"",""commentLines"":0,""codeLines"":64,""blankLines"":18},{""language"":""Gradle"",""commentLines"":165,""codeLines"":646,""blankLines"":121},{""language"":""Tcl/Tk"",""commentLines"":117,""codeLines"":252,""blankLines"":106},{""language"":""SVG"",""commentLines"":49,""codeLines"":6116,""blankLines"":60},{""language"":""Text"",""commentLines"":0,""codeLines"":2929,""blankLines"":24},{""language"":""HTML"",""commentLines"":1842,""codeLines"":120746,""blankLines"":5480},{""language"":""CSS"",""commentLines"":133,""codeLines"":966,""blankLines"":150},{""language"":""Bourne Shell"",""commentLines"":141,""codeLines"":144,""blankLines"":49},{""language"":""Haskell"",""commentLines"":6,""codeLines"":337,""blankLines"":42},{""language"":""INI"",""commentLines"":1474,""codeLines"":44,""blankLines"":319},{""language"":""YAML"",""commentLines"":347,""codeLines"":705,""blankLines"":193},{""language"":""Markdown"",""commentLines"":0,""codeLines"":1637,""blankLines"":443}]",2026-08-06T01:46:36,7a0ab419d82884a99e276119ab01893b487ab87a,true,false,false,false,"{""Java"":7564730,""HTML"":5994219,""CSS"":84880,""Kotlin"":24398,""Haskell"":13004,""Lex"":11788,""Tcl"":11575,""templ"":9332,""Shell"":2350}",all os;bug;d'n'd required;dependencies;dependent;documentation;duplicate;enhancement;github_actions;good first issue;help wanted;invalid;investigating;java;linux;macos;pri +1;pri -1;pri std;question;stale;triage;windows;wontfix,circuit;circuits;digital-circuit;digital-circuits;digital-logic;digital-logic-design;education;fpga;logic;logisim;logisim-evolution;simulator;timing-diagram;verilog;vhdl
3273194,apache/rocketmq,false,9176,70,25,12003,Java,develop,Apache License 2.0,https://rocketmq.apache.org/,843,22545,336,46522,2016-11-30T08:00:08,2026-08-06T11:22:52,2026-08-06T02:03:07,5130,235,5071,239,55616,297179,53244,"[{""language"":""DOS Batch"",""commentLines"":194,""codeLines"":190,""blankLines"":56},{""language"":""JSON"",""commentLines"":0,""codeLines"":6,""blankLines"":0},{""language"":""SQL"",""commentLines"":18,""codeLines"":4,""blankLines"":0},{""language"":""Java"",""commentLines"":51024,""codeLines"":276773,""blankLines"":51171},{""language"":""C++"",""commentLines"":47,""codeLines"":193,""blankLines"":55},{""language"":""YAML"",""commentLines"":194,""codeLines"":776,""blankLines"":77},{""language"":""Properties"",""commentLines"":114,""codeLines"":50,""blankLines"":1},{""language"":""Bazel"",""commentLines"":16,""codeLines"":136,""blankLines"":14},{""language"":""Starlark"",""commentLines"":460,""codeLines"":969,""blankLines"":54},{""language"":""Maven"",""commentLines"":274,""codeLines"":2194,""blankLines"":129},{""language"":""XML"",""commentLines"":298,""codeLines"":2712,""blankLines"":274},{""language"":""Markdown"",""commentLines"":4,""codeLines"":11891,""blankLines"":3396},{""language"":""Bourne Shell"",""commentLines"":541,""codeLines"":986,""blankLines"":297},{""language"":""Python"",""commentLines"":60,""codeLines"":299,""blankLines"":92}]",2026-08-06T11:22:52,51f9fcc49308f6ab6f779f97fdea075463056aeb,true,false,false,false,"{""Java"":16073571,""Starlark"":66275,""Shell"":60625,""Batchfile"":22751,""Python"":17544,""C++"":9852}",api/protocol compatibility;breaking;bydesign;controversial;dependencies;draft;github_actions;good first issue;ha;improvement required;infra enhancement project;java;log;lts 4.9.x;metrics;module/acl;module/admin;module/broker;module/client;module/common;module/container;module/controller;module/doc;module/example;module/ha;module/namesrv;module/proxy;module/remoting;module/store;module/test;module/tiered-store;module/tools;need feedback;no stale;not following issue template;offset;pop;prior discussion required;progress/discuss;progress/wip;soc;stale;transaction;type/action;type/bug;type/code style;type/compatibility;type/duplicate;type/enhancement;type/new feature;type/polish;type/question;type/rip;type/wontfix;urgent,cloud-native;eventing;hacktoberfest;java;messaging;rocketmq;streaming
