sample_order,sampling_language,language_population,language_sample_size,inclusion_probability,name,lastCommitSHA,source_file,source_input_index
1,Java,658,13,0.019756838905775075,lionsoul2014/ip2region,5a401aaebbe26b80cf0702bcc1934f1a556c9cf7,java.csv,295
2,Java,658,13,0.019756838905775075,openid/appauth-android,e5f51842fd1d3c7e49d9b6642e346f43f495dac8,java.csv,354
3,Java,658,13,0.019756838905775075,apache/incubator-kie-drools,1b022f1d61ba2674d07739f01d6ddf91c37fcea3,java.csv,582
4,Java,658,13,0.019756838905775075,jetty/jetty.project,840a68d3316236f49ac06a5ad2be2e73d9632f4a,java.csv,583
5,Java,658,13,0.019756838905775075,nutzam/nutz,9a93a8342f22918933b0caea3940a8465caa4053,java.csv,46
6,Java,658,13,0.019756838905775075,plantuml/plantuml,085c1231d0b4bdce1ff769788c269bf38de3ff4e,java.csv,26
7,Java,658,13,0.019756838905775075,influxdata/influxdb-java,6d99c7ec34767839c5881e4da0015dafab437136,java.csv,212
8,Java,658,13,0.019756838905775075,papermc/velocity,00759e52790e85e148efc08adb7e7dd29e6c5110,java.csv,529
9,Java,658,13,0.019756838905775075,logisim-evolution/logisim-evolution,7a0ab419d82884a99e276119ab01893b487ab87a,java.csv,510
10,Java,658,13,0.019756838905775075,apache/rocketmq,51f9fcc49308f6ab6f779f97fdea075463056aeb,java.csv,345
11,Java,658,13,0.019756838905775075,apache/shardingsphere,ba53784e1721b9582ed00713797c9074b69c33a6,java.csv,485
12,Java,658,13,0.019756838905775075,torakiki/pdfsam,2930a4f4b3501dbe6a4dabbd1f7bca2858d36da8,java.csv,177
13,Java,658,13,0.019756838905775075,sofastack/sofa-tracer,63a37a79330786bbbf623913c0848a24aa58061c,java.csv,337
14,JavaScript,829,13,0.015681544028950542,getgauge/taiko,67299f0b4f3c944d9389074f40224bb815e332ee,js.csv,1110
15,JavaScript,829,13,0.015681544028950542,tape-testing/tape,a53bbbe6fa0d62cbbd41de6092511c3cd2584a38,js.csv,1397
16,JavaScript,829,13,0.015681544028950542,svgdotjs/svg.js,6f58d4b2aa10e2d7ed6e38ff84caeb04b210af4e,js.csv,740
17,JavaScript,829,13,0.015681544028950542,plankanban/planka,856768c45e60bb42eb54edb44a0d59a67118347f,js.csv,1073
18,JavaScript,829,13,0.015681544028950542,salesforce/lwc,ede446834bc888ce4aaa781f209b0da33b37c99f,js.csv,1170
19,JavaScript,829,13,0.015681544028950542,decaporg/decap-cms,e50c1b16fb22421adaaea6aa104cf68045ebdbbf,js.csv,1344
20,JavaScript,829,13,0.015681544028950542,c3js/c3,477b7590f33acad219846c404ba48af71d6928ae,js.csv,715
21,JavaScript,829,13,0.015681544028950542,shaka-project/shaka-player,f9c6fcdf473cc5c1867afa0a1e575d00198ea02f,js.csv,1310
22,JavaScript,829,13,0.015681544028950542,ui-lovelace-minimalist/ui,b1da15140435ca23041f9568ae254ba34b003810,js.csv,1314
23,JavaScript,829,13,0.015681544028950542,openlayers/openlayers,140be96d1712cabf4f4e1d1dcc06d68500bfc34b,js.csv,1065
24,JavaScript,829,13,0.015681544028950542,module-federation/core,641a0b6edc0f30865586e7d021522bfa27051c4c,js.csv,1402
25,JavaScript,829,13,0.015681544028950542,parse-community/parse-server-example,77e5860644a943d7fb675e210ccafbab89cb4975,js.csv,892
26,JavaScript,829,13,0.015681544028950542,autonumeric/autonumeric,7e7a2c3a5a03fc7ea4899f046b411926f831e82f,js.csv,778
27,Python,1841,12,0.006518196632265073,verl-project/verl,e357354528c01fc992d9d9e10f5cb1a0301faaf0,python.csv,3240
28,Python,1841,12,0.006518196632265073,lexiforest/curl_cffi,965508e0cd777369bd2f825162da6dbde9140f4e,python.csv,3003
29,Python,1841,12,0.006518196632265073,opendatalab/MinerU,79d6d8d79fb8f3ddba5cc34c07a16f0ec36f56c7,python.csv,2972
30,Python,1841,12,0.006518196632265073,onnx/onnx,57bb876250ecc07623a744512d94b44221fb3ed8,python.csv,2525
31,Python,1841,12,0.006518196632265073,spesmilo/electrum,ebe20010111f00dad2d8bd52ac2a6030d3b26d8b,python.csv,2422
32,Python,1841,12,0.006518196632265073,NVIDIA/earth2studio,7f78468a54d6144ea46bfd4e82beaeee4b572304,python.csv,2952
33,Python,1841,12,0.006518196632265073,NVIDIA/TransformerEngine,bffde8f4a0a4eea9036dc753e28269247e5de69d,python.csv,2795
34,Python,1841,12,0.006518196632265073,tensorflow/recommenders,48aba88b43501a6f0104b21cb99e24bb71ac5514,python.csv,2184
35,Python,1841,12,0.006518196632265073,wxwidgets/phoenix,b84756bda627807172ca0e37457a2faf9da8e960,python.csv,2329
36,Python,1841,12,0.006518196632265073,agronholm/anyio,003e5d6bc3eba8f4e75bf2b2b5fb3f7dd11e6330,python.csv,1703
37,Python,1841,12,0.006518196632265073,kubernetes-client/python,cac97ce26896ab8b55fc7e20431f0b70c89be7e1,python.csv,1949
38,Python,1841,12,0.006518196632265073,carltongibson/django-filter,5128b8fde88b13a2f4e9a04bb0296756fa1cc848,python.csv,1652
39,TypeScript,1607,12,0.0074673304293715,upstash/context7,903a057dcc6937ec53e4f7397b0bd18fce6b0b3c,ts.csv,4697
40,TypeScript,1607,12,0.0074673304293715,carbon-design-system/carbon,79d912be2d8af31bacd73944075bab4944ef56e0,ts.csv,4021
41,TypeScript,1607,12,0.0074673304293715,puppeteer/puppeteer,33566d2dbb6485a459b9fc3826914b986c08e01e,ts.csv,3721
42,TypeScript,1607,12,0.0074673304293715,destinyitemmanager/dim,2c2ec8563c5f6c042e212cc8b7ed0bca3581e00f,ts.csv,3591
43,TypeScript,1607,12,0.0074673304293715,modernweb-dev/web,0bdb0e3ec1defb1c55f915ee286adeedec240560,ts.csv,3787
44,TypeScript,1607,12,0.0074673304293715,vitejs/vite-plugin-react,f97d9593f68b71d9c75970e7ca6e4caeb5806ddf,ts.csv,3357
