calibration_split,sampling_stratum,source_file,id,name,isFork,commits,branches,releases,forks,mainLanguage,defaultBranch,license,homepage,watchers,stargazers,contributors,size,createdAt,pushedAt,updatedAt,totalIssues,openIssues,totalPullRequests,openPullRequests,blankLines,codeLines,commentLines,metrics,lastCommit,lastCommitSHA,hasWiki,isArchived,isDisabled,isLocked,languages,labels,topics
tuning,pass,java.csv,56139,spring-projects/spring-integration,false,13062,27,226,1153,Java,main,Apache License 2.0,http://projects.spring.io/spring-integration/,129,1625,265,82954,2011-07-22T09:47:27,2026-07-28T07:39:32,2026-07-28T07:39:23,5828,95,5309,4,88339,396841,115551,"[{""codeLines"":41,""blankLines"":3,""language"":""XSLT"",""commentLines"":0},{""codeLines"":27159,""blankLines"":6296,""language"":""XML"",""commentLines"":200},{""codeLines"":359,""blankLines"":166,""language"":""Markdown"",""commentLines"":13},{""codeLines"":45,""blankLines"":32,""language"":""Protocol Buffers"",""commentLines"":10},{""codeLines"":397,""blankLines"":46,""language"":""YAML"",""commentLines"":6},{""codeLines"":1088,""blankLines"":214,""language"":""Gradle"",""commentLines"":4},{""codeLines"":6,""blankLines"":2,""language"":""Python"",""commentLines"":0},{""codeLines"":14,""blankLines"":0,""language"":""SVG"",""commentLines"":0},{""codeLines"":70,""blankLines"":21,""language"":""DOS Batch"",""commentLines"":2},{""codeLines"":587,""blankLines"":107,""language"":""SQL"",""commentLines"":37},{""codeLines"":32,""blankLines"":3,""language"":""Ruby"",""commentLines"":1},{""codeLines"":38971,""blankLines"":9996,""language"":""AsciiDoc"",""commentLines"":79},{""codeLines"":577,""blankLines"":135,""language"":""Text"",""commentLines"":0},{""codeLines"":546,""blankLines"":2,""language"":""INI"",""commentLines"":0},{""codeLines"":161,""blankLines"":2,""language"":""TOML"",""commentLines"":0},{""codeLines"":624,""blankLines"":32,""language"":""Properties"",""commentLines"":6},{""codeLines"":102,""blankLines"":28,""language"":""Bourne Shell"",""commentLines"":118},{""codeLines"":548,""blankLines"":17,""language"":""CSS"",""commentLines"":34},{""codeLines"":745,""blankLines"":220,""language"":""HTML"",""commentLines"":4},{""codeLines"":1010,""blankLines"":227,""language"":""Groovy"",""commentLines"":580},{""codeLines"":22828,""blankLines"":780,""language"":""XSD"",""commentLines"":26},{""codeLines"":49,""blankLines"":0,""language"":""JSON"",""commentLines"":0},{""codeLines"":16,""blankLines"":4,""language"":""GraphQL"",""commentLines"":0},{""codeLines"":298864,""blankLines"":69473,""language"":""Java"",""commentLines"":113389},{""codeLines"":2002,""blankLines"":533,""language"":""Kotlin"",""commentLines"":1042}]",2026-07-28T07:39:13,5fa749db2c7cdb36cc2c042b1a9084f76d4fa176,true,false,false,false,"{""Java"":16958515,""Kotlin"":116765,""Groovy"":74485,""HTML"":44249,""CSS"":12215,""PLpgSQL"":2477,""XSLT"":1307,""Ruby"":720,""Python"":184}",(EOL) for: backport-to-6.1.x;(EOL) for: backport-to-6.2.x;(EOL) for: backport-to-6.3.x;(EOL) for: backport-to-6.4.x;(EOL) for: backport-to-6.5.x;for: backport-to-7.0.x;for: upgrade-attention;has: backports;ideal-for-user-contribution;in: amqp;in: build;in: camel;in: cassandra;in: cloudevents;in: core;in: debezium;in: dsl;in: events;in: feed;in: file;in: ftp;in: gRPC;in: gemfire;in: graphql;in: groovy;in: hazelcast;in: http;in: jdbc;in: jms;in: jmx;in: jpa;in: kafka;in: mail;in: mongodb;in: mqtt;in: r2dbc;in: redis;in: rmi;in: rsocket;in: scripting;in: security;in: sftp;in: smb;in: stomp;in: stream;in: syslog;in: tcp/udp;in: testing;in: twitter;in: webflux;in: websocket;in: ws;in: xml;in: xmpp;in: zeromq;in: zip;in: zookeeper;status: backport;status: backported;status: declined;status: discussion-required;status: duplicate;status: invalid;status: on-hold-dependency;status: waiting-for-reporter;status: waiting-for-triage;type: backport;type: bug;type: dependency-upgrade;type: documentation;type: enhancement;type: refactoring;type: regression;type: task,eip;java;microservices;spring
holdout,pass,java.csv,8748,brianfrankcooper/ycsb,false,1365,4,55,2323,Java,master,Apache License 2.0,,207,5202,150,32814,2010-04-19T08:52:11,2026-04-15T03:08:44,2026-04-15T03:08:51,973,270,795,112,7277,33443,12750,"[{""codeLines"":25597,""blankLines"":5059,""language"":""Java"",""commentLines"":9958},{""codeLines"":38,""blankLines"":8,""language"":""SQL"",""commentLines"":66},{""codeLines"":177,""blankLines"":144,""language"":""Properties"",""commentLines"":760},{""codeLines"":500,""blankLines"":124,""language"":""XML"",""commentLines"":276},{""codeLines"":196,""blankLines"":35,""language"":""DOS Batch"",""commentLines"":0},{""codeLines"":245,""blankLines"":36,""language"":""Python"",""commentLines"":53},{""codeLines"":3260,""blankLines"":359,""language"":""Maven"",""commentLines"":726},{""codeLines"":209,""blankLines"":36,""language"":""Text"",""commentLines"":0},{""codeLines"":458,""blankLines"":53,""language"":""HTML"",""commentLines"":104},{""codeLines"":140,""blankLines"":35,""language"":""Bourne Shell"",""commentLines"":85},{""codeLines"":46,""blankLines"":9,""language"":""INI"",""commentLines"":0},{""codeLines"":22,""blankLines"":4,""language"":""Lua"",""commentLines"":28},{""codeLines"":23,""blankLines"":9,""language"":""YAML"",""commentLines"":21},{""codeLines"":2532,""blankLines"":1366,""language"":""Markdown"",""commentLines"":673}]",2026-04-15T03:08:44,d9faaac85a95acd4c650a3436ac41eeaeb49c365,true,false,false,false,"{""Java"":1414875,""Python"":13859,""Shell"":8110,""Batchfile"":7315,""Lua"":1964,""CQL"":1786,""HTML"":803}",aesilberstein;brianfrankcooper;bug;busbey_approval_waiting;cassandra;core;couchbase;db-new;db-update;documentation;dynamo;elasticsearch;feedback;gemfire;hbase;improvement;jdbc;mongo;mysql;needs-rebase;postgrenosql;question;redis;release;security;solr,
tuning,review,java.csv,1457731,google/error-prone,false,7441,38,66,808,Java,master,Apache License 2.0,https://errorprone.info,149,7213,237,175482,2014-08-21T11:26:50,2026-07-28T11:02:11,2026-07-29T01:25:43,1964,425,3985,81,46407,325808,52605,"[{""codeLines"":6,""blankLines"":3,""language"":""Starlark"",""commentLines"":16},{""codeLines"":61,""blankLines"":20,""language"":""Mustache"",""commentLines"":0},{""codeLines"":31,""blankLines"":3,""language"":""Bazel"",""commentLines"":0},{""codeLines"":435,""blankLines"":16,""language"":""XML"",""commentLines"":48},{""codeLines"":130,""blankLines"":47,""language"":""Protocol Buffers"",""commentLines"":108},{""codeLines"":60,""blankLines"":5,""language"":""Text"",""commentLines"":0},{""codeLines"":271,""blankLines"":22,""language"":""YAML"",""commentLines"":4},{""codeLines"":4,""blankLines"":1,""language"":""Properties"",""commentLines"":17},{""codeLines"":10208,""blankLines"":2530,""language"":""Markdown"",""commentLines"":19},{""codeLines"":25,""blankLines"":9,""language"":""Bourne Shell"",""commentLines"":18},{""codeLines"":313064,""blankLines"":43647,""language"":""Java"",""commentLines"":52140},{""codeLines"":1513,""blankLines"":104,""language"":""Maven"",""commentLines"":235}]",2026-07-28T06:04:13,04af48c45e781f26bfdb53854cdeb7e7a12949dc,true,false,false,false,"{""Java"":13129605,""Shell"":1918,""Mustache"":1677,""Starlark"":959}",bug;cla: no;cla: yes;dependencies;doc fixit;duplicate;enhancement;filler;fixit;github_actions;help wanted;intellij;internal-sync;invalid;java;lombok;migrated;not-reproducible;priority-high;priority-low;priority-medium;question;status-accepted;status-done;status-duplicate;status-fixed;status-invalid;status-started;status-wontfix;twenty-percent;type-defect;type-enhancement;type-newcheck;type-review;wontfix,java;static-analysis
holdout,review,java.csv,1019935,ehcache/ehcache3,false,5002,17,55,589,Java,master,Apache License 2.0,http://www.ehcache.org,153,2080,49,22448,2014-02-26T08:39:16,2026-05-04T03:40:58,2026-05-04T03:21:04,1229,118,2096,31,33011,150023,51925,"[{""codeLines"":89,""blankLines"":17,""language"":""Groovy"",""commentLines"":1},{""codeLines"":655,""blankLines"":0,""language"":""SVG"",""commentLines"":0},{""codeLines"":554,""blankLines"":153,""language"":""Bourne Shell"",""commentLines"":191},{""codeLines"":451,""blankLines"":229,""language"":""Markdown"",""commentLines"":0},{""codeLines"":33,""blankLines"":8,""language"":""Properties"",""commentLines"":37},{""codeLines"":253,""blankLines"":39,""language"":""Text"",""commentLines"":0},{""codeLines"":13,""blankLines"":4,""language"":""INI"",""commentLines"":0},{""codeLines"":136679,""blankLines"":29907,""language"":""Java"",""commentLines"":49852},{""codeLines"":58,""blankLines"":12,""language"":""YAML"",""commentLines"":37},{""codeLines"":40,""blankLines"":20,""language"":""Dockerfile"",""commentLines"":21},{""codeLines"":485,""blankLines"":90,""language"":""PlantUML"",""commentLines"":0},{""codeLines"":69,""blankLines"":21,""language"":""DOS Batch"",""commentLines"":2},{""codeLines"":1121,""blankLines"":96,""language"":""XSD"",""commentLines"":151},{""codeLines"":4147,""blankLines"":1375,""language"":""AsciiDoc"",""commentLines"":6},{""codeLines"":2207,""blankLines"":394,""language"":""XML"",""commentLines"":1194},{""codeLines"":90,""blankLines"":0,""language"":""JSON"",""commentLines"":0},{""codeLines"":1461,""blankLines"":241,""language"":""Gradle"",""commentLines"":428},{""codeLines"":1618,""blankLines"":405,""language"":""CSS"",""commentLines"":5}]",2026-05-04T03:20:57,a7f07f82e2c6b9aa04b79dfbda1fa2383aa68348,true,false,false,false,"{""Java"":8242084,""Shell"":29837,""Dockerfile"":3601}",api;blocked;bug;cla accepted;cla pending;cla unnecessary;clustering;documentation;duplicate;enhancement;in progress;invalid;jsr107;management;pending review;perf;prioritized;question;resilience;security;spi;support request;under review;unknown;usability;wontfix,
tuning,not_found,java.csv,3275841,viaversion/viaversion,false,4980,9,58,330,Java,master,GNU General Public License v3.0,https://viaversion.com,35,1603,116,27651,2016-02-28T10:39:27,2026-07-23T03:46:17,2026-07-28T02:39:28,3449,59,1423,6,14146,93385,28898,"[{""codeLines"":45,""blankLines"":10,""language"":""Kotlin"",""commentLines"":0},{""codeLines"":331,""blankLines"":14,""language"":""YAML"",""commentLines"":162},{""codeLines"":19,""blankLines"":2,""language"":""Properties"",""commentLines"":3},{""codeLines"":694,""blankLines"":156,""language"":""Markdown"",""commentLines"":0},{""codeLines"":366,""blankLines"":46,""language"":""Gradle"",""commentLines"":30},{""codeLines"":102,""blankLines"":28,""language"":""Bourne Shell"",""commentLines"":118},{""codeLines"":34,""blankLines"":13,""language"":""TOML"",""commentLines"":3},{""codeLines"":3308,""blankLines"":0,""language"":""Text"",""commentLines"":0},{""codeLines"":14,""blankLines"":2,""language"":""INI"",""commentLines"":0},{""codeLines"":64,""blankLines"":18,""language"":""DOS Batch"",""commentLines"":0},{""codeLines"":8978,""blankLines"":0,""language"":""JSON"",""commentLines"":0},{""codeLines"":29,""blankLines"":0,""language"":""XML"",""commentLines"":0},{""codeLines"":79401,""blankLines"":13857,""language"":""Java"",""commentLines"":28582}]",2026-07-23T03:46:09,122b81dd33cd9c78f2a3bf931a1095cd6b5c4cd6,true,false,false,false,"{""Java"":5141566,""Kotlin"":1734}",added;bug;bungee version;can't reproduce;dependencies;dev;duplicate;fault with another plugin/platform;feature request;fixed;github_actions;gradle-wrapper;hacktoberfest-accepted;help wanted;incompatibility;invalid;issue template;java;legacy;low priority;need more info;needs testing;plausible;question;refactor;spigot version;sponge version;unconfirmed;velocity version;won't fix;workaround provided;¯\(°_o)/¯,bukkit;bungeecord;fabric;hacktoberfest;java;java-edition;minecraft;paper;plugin;spigot;sponge;sponge-plugin;velocity;viaversion
tuning,pass,js.csv,7795315,google/site-kit-wp,false,53796,300,198,376,JavaScript,develop,Apache License 2.0,https://sitekit.withgoogle.com,50,1391,63,755414,2019-06-11T02:20:21,2026-07-26T02:07:21,2026-07-24T01:42:15,6747,485,6429,141,79837,517385,129827,"[{""codeLines"":16,""blankLines"":4,""language"":""INI"",""commentLines"":0},{""codeLines"":40,""blankLines"":5,""language"":""HTML"",""commentLines"":0},{""codeLines"":3801,""blankLines"":1122,""language"":""Text"",""commentLines"":0},{""codeLines"":145,""blankLines"":87,""language"":""TOML"",""commentLines"":11},{""codeLines"":4480,""blankLines"":1,""language"":""SVG"",""commentLines"":3},{""codeLines"":280,""blankLines"":51,""language"":""SQL"",""commentLines"":77},{""codeLines"":85,""blankLines"":28,""language"":""Diff"",""commentLines"":111},{""codeLines"":15548,""blankLines"":3674,""language"":""SCSS"",""commentLines"":3976},{""codeLines"":66,""blankLines"":12,""language"":""Dockerfile"",""commentLines"":12},{""codeLines"":78659,""blankLines"":0,""language"":""JSON"",""commentLines"":0},{""codeLines"":18,""blankLines"":8,""language"":""Bourne Again Shell"",""commentLines"":17},{""codeLines"":144,""blankLines"":14,""language"":""XML"",""commentLines"":19},{""codeLines"":57401,""blankLines"":9088,""language"":""TypeScript"",""commentLines"":18307},{""codeLines"":562,""blankLines"":144,""language"":""Bourne Shell"",""commentLines"":193},{""codeLines"":2038,""blankLines"":185,""language"":""YAML"",""commentLines"":59},{""codeLines"":16041,""blankLines"":4363,""language"":""Markdown"",""commentLines"":11},{""codeLines"":11986,""blankLines"":2259,""language"":""Sass"",""commentLines"":214},{""codeLines"":238701,""blankLines"":38566,""language"":""JavaScript"",""commentLines"":62858},{""codeLines"":87374,""blankLines"":20226,""language"":""PHP"",""commentLines"":43959}]",2026-07-24T01:40:42,867e11124d298a2ae5f9e35f925e8f9986a61b90,false,false,false,false,"{""JavaScript"":9581342,""PHP"":4788875,""TypeScript"":2724190,""SCSS"":524949,""Shell"":30925,""Dockerfile"":4702,""HTML"":1678}",Feature: Audiences;Module: Ads;Module: RRM;Module: Sign in with Google;Team M;Team S;blocked upstream;cla: no;cla: yes;dependencies;duplicate;end of sprint;engineering documentation;epic;exp: sp;fixed;gemini-review;good first issue;group: escalation;invalid;javascript;language;maybelater;module: adsense;module: analytics;module: idea hub;module: optimize;module: pagespeed;module: search console;module: site verification;module: subscribe with google;module: tag manager;module: thank with google;needs documentation;next up;p0;p1;p2;php;qa: eng;rollover;sp wk 1;sp wk 2;team review;type: bug;type: docs;type: enhancement;type: feature;type: infrastructure;type: support;type: task;ux;wontfix;wpcs extra sniffs,site-kit;wordpress
holdout,pass,js.csv,7820130,fastify/fastify,false,4787,26,314,2878,JavaScript,main,MIT License,https://www.fastify.dev,365,36809,435,10381,2016-09-28T07:10:14,2026-07-26T08:26:01,2026-07-26T10:54:05,2178,69,4217,72,14797,81697,2196,"[{""codeLines"":6717,""blankLines"":664,""language"":""TypeScript"",""commentLines"":785},{""codeLines"":58088,""blankLines"":10290,""language"":""JavaScript"",""commentLines"":1354},{""codeLines"":20,""blankLines"":3,""language"":""Bourne Shell"",""commentLines"":0},{""codeLines"":3,""blankLines"":0,""language"":""SVG"",""commentLines"":0},{""codeLines"":15472,""blankLines"":3677,""language"":""Markdown"",""commentLines"":19},{""codeLines"":273,""blankLines"":0,""language"":""JSON"",""commentLines"":0},{""codeLines"":1115,""blankLines"":161,""language"":""YAML"",""commentLines"":38},{""codeLines"":9,""blankLines"":2,""language"":""INI"",""commentLines"":0}]",2026-07-26T08:26:00,ff7eff5eec8a820b2c6f79b477e1a784bbf42341,false,false,false,false,"{""JavaScript"":1833799,""TypeScript"":179490,""Shell"":911}",appreciation;backport 1.x;backport 2.x;backport 3.x;backport 4.x;benchmark;bounty;bug;bugfix;chore;citgm-core-plugins;dependencies;discussion;documentation;duplicate;feature request;github actions;github_actions;good first issue;hacktoberfest-accepted;help wanted;internals;javascript;missing types;need info;notable-change;notable-change-v6;performances;plugin;plugin suggestion;question;semver-major;semver-minor;stale;test;test-compare;typescript;v1.x;v2.x;v3.x;v4.x;v5.x;v6.x;wontfix,hacktoberfest;nodejs;performance;speed;webframework
tuning,review,js.csv,95835304,cncf/mentoring,false,2126,1,0,802,JavaScript,main,Apache License 2.0,https://mentoring.cncf.io,206,3031,366,3745,2017-02-08T02:45:33,2026-07-24T10:33:31,2026-07-25T03:26:43,394,120,1429,1,6884,26607,625,"[{""codeLines"":3801,""blankLines"":248,""language"":""YAML"",""commentLines"":130},{""codeLines"":20645,""blankLines"":6205,""language"":""Markdown"",""commentLines"":8},{""codeLines"":2146,""blankLines"":431,""language"":""JavaScript"",""commentLines"":487},{""codeLines"":15,""blankLines"":0,""language"":""JSON"",""commentLines"":0}]",2026-07-24T10:33:29,df588ba14bdd69ba965d9cc22dcf7838e8ad87f2,false,false,false,false,"{""JavaScript"":312609}",2022;2023;2024;2025;2026;2027;Applications Closed;Awaiting CNCF Admin Approval;Awaiting Maintainer/Contribex Approval;Awaiting Mentor Confirmation;CNCF Approved;LFX Approved;Maintainer/Contribex Approved;Mentors Confirmed;Mentors Registered;Open for Applications;Over Quota;Posted to LFX;Term 1: March-May;Term 2: June-Aug;Term 3: Sept-Nov;administration;discussion;enhancement;exported;fall;getting started;good first issue;help wanted;hold;lfx mentorship;needs validation;outreachy;proposal;season of docs;spring;summer;summer of code;time-sensitive;validation failed;validation passed,cncf;gsoc;gsod;mentorship
holdout,review,js.csv,95509956,alam00000/bentopdf,false,939,23,56,1193,JavaScript,main,GNU Affero General Public License v3.0,https://bentopdf.com/,34,14396,64,146656,2025-10-12T01:30:08,2026-07-24T06:35:19,2026-07-26T08:47:50,386,108,351,39,34798,527680,6724,"[{""codeLines"":520,""blankLines"":2,""language"":""SVG"",""commentLines"":15},{""codeLines"":75,""blankLines"":7,""language"":""Text"",""commentLines"":0},{""codeLines"":18986,""blankLines"":2818,""language"":""CSS"",""commentLines"":112},{""codeLines"":64226,""blankLines"":3655,""language"":""HTML"",""commentLines"":1609},{""codeLines"":12,""blankLines"":11,""language"":""TOML"",""commentLines"":91},{""codeLines"":47420,""blankLines"":0,""language"":""JSON"",""commentLines"":0},{""codeLines"":144,""blankLines"":37,""language"":""Dockerfile"",""commentLines"":25},{""codeLines"":29,""blankLines"":1,""language"":""XML"",""commentLines"":0},{""codeLines"":73992,""blankLines"":11438,""language"":""TypeScript"",""commentLines"":2145},{""codeLines"":73741,""blankLines"":10330,""language"":""Freemarker Template"",""commentLines"":0},{""codeLines"":1220,""blankLines"":135,""language"":""YAML"",""commentLines"":55},{""codeLines"":905,""blankLines"":185,""language"":""Bourne Shell"",""commentLines"":109},{""codeLines"":8979,""blankLines"":3568,""language"":""Markdown"",""commentLines"":3},{""codeLines"":237431,""blankLines"":2611,""language"":""JavaScript"",""commentLines"":2560}]",2026-07-23T12:54:46,0447cfc032c3813b325747d471186cdecc216a42,true,false,false,false,"{""JavaScript"":8355369,""Fluent"":3694893,""TypeScript"":2641631,""HTML"":2498460,""CSS"":621499,""Shell"":41940,""Dockerfile"":3851,""Go Template"":860}",NOTICE 🛑;backlog;bug;dependencies;docker;documentation;duplicate;enhancement;github_actions;good first issue;hacktoberfest;hacktoberfest-accepted;help wanted;in progress;invalid;javascript;new feature;next-release;question;wontfix,adobe-acrobat;docker;hacktoberfest;javascript;jpgtopdf;pdf;pdf-converter;pdf-editor;pdf-generation;pdf-ocr;pdf-tools;pdf-viewer;pdf-viewer-component;pdffiller;pdfjs;privacy;self-hosted;self-hosting;toolkit;typescript
tuning,not_found,js.csv,95422728,forwardemail/supertest,false,516,6,45,782,JavaScript,master,MIT License,,107,14345,90,951,2012-06-27T08:56:12,2026-04-02T04:24:49,2026-04-15T04:34:16,615,167,271,17,742,10398,377,"[{""codeLines"":11,""blankLines"":2,""language"":""INI"",""commentLines"":0},{""codeLines"":3003,""blankLines"":622,""language"":""JavaScript"",""commentLines"":375},{""codeLines"":28,""blankLines"":6,""language"":""YAML"",""commentLines"":2},{""codeLines"":359,""blankLines"":112,""language"":""Markdown"",""commentLines"":0},{""codeLines"":6997,""blankLines"":0,""language"":""JSON"",""commentLines"":0}]",2026-01-06T09:26:19,d7997513dcfb2f918e617f48ea4d56006aa0c3c3,false,false,false,false,"{""JavaScript"":105237}",bug;conflicts;dependencies;documentation;duplicate;enhancement;invalid;javascript;need-help;needs-investigation;next-release;question;refactoring;release;too-old;wontfix,assertions;node;superagent;supertest
